ticket_id,agent_id,agent_name,team_id,ticket_opened_at,ticket_closed_at,handle_time_seconds,closure_reason_code,closure_reason_group,channel,issue_category,resolution_status,transfer_count,is_escalation,survey_sent_flag,survey_sent_at,survey_completed_flag,survey_completed_at,csat_score,verbatim_comment,survey_trigger_method,day_of_week,hour_of_day,month_year,handle_time_bucket
TKT0000011,AGT012,Agent_012,TEAM1,2026-01-26T17:17:00,2026-01-26T17:20:18,198,CLOSED_AUTO,Resolved - No Follow-Up,phone,Remote Services,resolved,0,False,1,2026-01-26T19:20:18,0,,,,closure_code,Monday,17,2026-01,3-7min
TKT0000012,AGT021,Agent_021,TEAM2,2026-04-19T18:15:00,2026-04-19T18:23:22,502,SOLVED_FIRST,Resolved - Customer Confirmed,chat,Emergency Services,resolved,0,False,1,2026-04-20T18:23:22,0,,,,closure_code,Sunday,18,2026-04,7-15min
TKT0000013,AGT030,Agent_030,TEAM3,2026-05-28T12:53:00,2026-05-28T13:11:45,1125,SOLVED_SILENT,Resolved - No Follow-Up,phone,Connectivity,escalated,0,True,0,,0,,,,,Thursday,13,2026-05,15+min
TKT0000014,AGT027,Agent_027,TEAM4,2026-03-16T11:04:00,2026-03-16T11:09:44,344,CLOSED_AUTO,Resolved - No Follow-Up,app,Diagnostics,resolved,0,False,0,,0,,,,,Monday,11,2026-03,3-7min
TKT0000015,AGT011,Agent_011,TEAM4,2026-05-20T14:25:00,2026-05-20T14:29:35,275,RES_NO_FU,Resolved - No Follow-Up,chat,Connectivity,unresolved,0,False,0,,0,,,,,Wednesday,14,2026-05,3-7min
TKT0000016,AGT009,Agent_009,TEAM2,2026-02-05T18:35:00,2026-02-05T18:42:16,436,SOLVED_FIRST,Resolved - Customer Confirmed,app,Billing,resolved,0,False,1,2026-02-09T18:42:16,0,,,,closure_code,Thursday,18,2026-02,7-15min
TKT0000017,AGT029,Agent_029,TEAM2,2026-01-29T09:32:00,2026-01-29T09:36:24,264,CLOSED_AUTO,Resolved - No Follow-Up,phone,Navigation,resolved,0,False,0,,0,,,,,Thursday,9,2026-01,3-7min
TKT0000018,AGT005,Agent_005,TEAM2,2026-01-13T19:43:00,2026-01-13T19:48:28,328,DUPLICATE,Administrative,phone,Billing,resolved,0,False,1,2026-01-14T19:48:28,1,2026-01-15T18:48:28,4.6,,closure_code,Tuesday,19,2026-01,3-7min
TKT0000019,AGT013,Agent_013,TEAM2,2026-04-02T15:16:00,2026-04-02T15:22:39,399,TRANSFERRED_EXT,Transferred,phone,Diagnostics,abandoned,0,False,0,,0,,,,,Thursday,15,2026-04,3-7min
TKT0000020,AGT024,Agent_024,TEAM1,2026-05-27T21:34:00,2026-05-27T21:37:12,192,RES_CUST_VERIFIED,Resolved - Customer Confirmed,phone,Diagnostics,transferred,2,False,1,2026-05-27T23:37:12,0,,,,closure_code,Wednesday,21,2026-05,3-7min
TKT0000021,AGT011,Agent_011,TEAM4,2026-02-17T13:10:00,2026-02-17T13:21:57,717,RES_CUST_VERIFIED,Resolved - Customer Confirmed,phone,Remote Services,resolved,0,False,1,2026-02-18T13:21:57,1,2026-02-19T03:21:57,5.0,,closure_code,Tuesday,13,2026-02,7-15min
TKT0000022,AGT025,Agent_025,TEAM2,2026-05-13T11:53:00,2026-05-13T11:55:51,171,RES_NO_FU,Resolved - No Follow-Up,app,Connectivity,resolved,0,False,0,,0,,,,,Wednesday,11,2026-05,0-3min
TKT0000023,AGT005,Agent_005,TEAM2,2026-01-14T15:49:00,2026-01-14T15:51:39,159,CLOSED_AUTO,Resolved - No Follow-Up,app,Navigation,transferred,2,False,0,,0,,,,,Wednesday,15,2026-01,0-3min
TKT0000024,AGT020,Agent_020,TEAM1,2026-04-08T07:07:00,2026-04-08T07:14:43,463,CLOSED_AUTO,Resolved - No Follow-Up,phone,Emergency Services,transferred,1,False,1,2026-04-12T07:14:43,0,,,,closure_code,Wednesday,7,2026-04,7-15min
TKT0000025,AGT008,Agent_008,TEAM1,2026-02-03T21:36:00,2026-02-03T21:47:16,676,RES_CONF,Resolved - Customer Confirmed,phone,Diagnostics,unresolved,0,False,1,2026-02-07T21:47:16,0,,,,closure_code,Tuesday,21,2026-02,7-15min
TKT0000026,AGT016,Agent_016,TEAM1,2026-04-19T19:08:00,2026-04-19T19:15:34,454,RES_CUST_VERIFIED,Resolved - Customer Confirmed,chat,Remote Services,resolved,0,False,1,2026-04-20T19:15:34,1,2026-04-22T19:15:34,4.0,Agent was very helpful and resolved my issue quickly.,closure_code,Sunday,19,2026-04,7-15min
TKT0000027,AGT006,Agent_006,TEAM3,2026-04-18T20:38:00,2026-04-18T20:44:12,372,SOLVED_SILENT,Resolved - No Follow-Up,phone,Remote Services,resolved,0,False,0,,0,,,,,Saturday,20,2026-04,3-7min
TKT0000028,AGT025,Agent_025,TEAM2,2026-02-21T13:42:00,2026-02-21T13:47:26,326,RES_NO_FU,Resolved - No Follow-Up,chat,Remote Services,resolved,0,False,0,,0,,,,,Saturday,13,2026-02,3-7min
TKT0000029,AGT015,Agent_015,TEAM4,2026-02-05T10:04:00,2026-02-05T10:08:52,292,RES_CUST_VERIFIED,Resolved - Customer Confirmed,app,Remote Services,resolved,0,False,1,2026-02-06T10:08:52,1,2026-02-08T05:08:52,3.5,,closure_code,Thursday,10,2026-02,3-7min
TKT0000030,AGT008,Agent_008,TEAM1,2026-01-29T07:04:00,2026-01-29T07:18:05,845,TRANSFERRED_EXT,Transferred,phone,Connectivity,resolved,0,False,1,2026-01-29T09:18:05,1,2026-01-30T11:18:05,3.1,,closure_code,Thursday,7,2026-01,7-15min
TKT0000031,AGT003,Agent_003,TEAM4,2026-02-26T08:32:00,2026-02-26T08:40:26,506,RES_CONF,Resolved - Customer Confirmed,chat,Connectivity,resolved,0,False,1,2026-02-26T10:40:26,1,2026-02-26T15:40:26,3.6,,closure_code,Thursday,8,2026-02,7-15min
TKT0000032,AGT018,Agent_018,TEAM3,2026-04-29T16:30:00,2026-04-29T16:35:08,308,SOLVED_FIRST,Resolved - Customer Confirmed,phone,Billing,transferred,3,False,1,2026-05-01T16:35:08,1,2026-05-01T23:35:08,3.5,Acceptable service.,closure_code,Wednesday,16,2026-04,3-7min
TKT0000033,AGT026,Agent_026,TEAM3,2025-12-28T17:27:00,2025-12-28T17:31:11,251,RES_NO_FU,Resolved - No Follow-Up,chat,Billing,resolved,0,False,0,,0,,,,,Sunday,17,2025-12,3-7min
TKT0000034,AGT028,Agent_028,TEAM1,2026-05-20T17:06:00,2026-05-20T17:16:19,619,DUPLICATE,Administrative,phone,Billing,transferred,1,False,0,,0,,,,,Wednesday,17,2026-05,7-15min
TKT0000035,AGT024,Agent_024,TEAM1,2025-12-31T10:12:00,2025-12-31T10:25:50,830,CLOSED_AUTO,Resolved - No Follow-Up,phone,Remote Services,transferred,1,False,0,,0,,,,,Wednesday,10,2025-12,7-15min
TKT0000036,AGT015,Agent_015,TEAM4,2026-03-22T09:17:00,2026-03-22T09:29:54,774,SOLVED_FIRST,Resolved - Customer Confirmed,phone,Billing,resolved,0,False,1,2026-03-23T09:29:54,0,,,,closure_code,Sunday,9,2026-03,7-15min
TKT0000037,AGT026,Agent_026,TEAM3,2025-12-29T07:41:00,2025-12-29T07:44:44,224,TRANSFERRED_DEPT,Transferred,app,Navigation,transferred,1,False,0,,0,,,,,Monday,7,2025-12,3-7min
TKT0000038,AGT003,Agent_003,TEAM4,2026-01-15T13:31:00,2026-01-15T13:36:24,324,RES_NO_FU,Resolved - No Follow-Up,chat,Navigation,resolved,0,False,1,2026-01-17T13:36:24,1,2026-01-19T11:36:24,5.0,,closure_code,Thursday,13,2026-01,3-7min
TKT0000039,AGT006,Agent_006,TEAM3,2025-12-04T13:16:00,2025-12-04T13:20:48,288,ESCALATED_T2,Escalated,chat,Emergency Services,unresolved,0,False,1,2025-12-06T13:20:48,0,,,,closure_code,Thursday,13,2025-12,3-7min
TKT0000040,AGT014,Agent_014,TEAM3,2026-05-22T18:31:00,2026-05-22T18:36:54,354,TRANSFERRED_DEPT,Transferred,phone,Connectivity,resolved,0,False,1,2026-05-22T20:36:54,1,2026-05-24T05:36:54,3.7,Got it sorted out eventually.,closure_code,Friday,18,2026-05,3-7min
TKT0000041,AGT002,Agent_002,TEAM3,2026-04-21T07:47:00,2026-04-21T07:58:52,712,TRANSFERRED_EXT,Transferred,phone,Navigation,transferred,1,False,1,2026-04-25T07:58:52,1,2026-04-26T09:58:52,3.7,,closure_code,Tuesday,7,2026-04,7-15min
TKT0000042,AGT002,Agent_002,TEAM3,2026-04-05T15:58:00,2026-04-05T16:15:22,1042,TRANSFERRED_EXT,Transferred,phone,Navigation,escalated,0,True,0,,0,,,,,Sunday,16,2026-04,15+min
TKT0000043,AGT017,Agent_017,TEAM2,2026-01-20T08:38:00,2026-01-20T08:46:39,519,RES_CUST_VERIFIED,Resolved - Customer Confirmed,phone,Diagnostics,transferred,1,False,1,2026-01-20T10:46:39,1,2026-01-20T19:46:39,3.5,Issue was resolved but took longer than expected.,closure_code,Tuesday,8,2026-01,7-15min
TKT0000044,AGT028,Agent_028,TEAM1,2026-04-28T10:37:00,2026-04-28T10:41:16,256,RES_NO_FU,Resolved - No Follow-Up,app,Navigation,resolved,0,False,0,,0,,,,,Tuesday,10,2026-04,3-7min
TKT0000045,AGT014,Agent_014,TEAM3,2026-05-02T16:33:00,2026-05-02T16:39:33,393,DUPLICATE,Administrative,phone,Connectivity,resolved,0,False,0,,0,,,,,Saturday,16,2026-05,3-7min
TKT0000046,AGT022,Agent_022,TEAM3,2026-02-03T11:25:00,2026-02-03T11:45:06,1206,CLOSED_AUTO,Resolved - No Follow-Up,phone,Billing,resolved,0,False,0,,0,,,,,Tuesday,11,2026-02,15+min
TKT0000047,AGT011,Agent_011,TEAM4,2025-12-06T14:39:00,2025-12-06T14:46:08,428,RES_CUST_VERIFIED,Resolved - Customer Confirmed,phone,Navigation,abandoned,0,False,0,,0,,,,,Saturday,14,2025-12,7-15min
TKT0000048,AGT018,Agent_018,TEAM3,2026-04-12T11:08:00,2026-04-12T11:13:27,327,RES_NO_FU,Resolved - No Follow-Up,phone,Connectivity,unresolved,0,False,0,,0,,,,,Sunday,11,2026-04,3-7min
TKT0000049,AGT012,Agent_012,TEAM1,2026-01-13T14:53:00,2026-01-13T14:58:45,345,SOLVED_SILENT,Resolved - No Follow-Up,phone,Remote Services,resolved,0,False,0,,0,,,,,Tuesday,14,2026-01,3-7min
TKT0000050,AGT026,Agent_026,TEAM3,2026-05-23T20:35:00,2026-05-23T20:43:38,518,RES_NO_FU,Resolved - No Follow-Up,phone,Diagnostics,transferred,1,False,0,,0,,,,,Saturday,20,2026-05,7-15min
TKT0000051,AGT004,Agent_004,TEAM1,2026-02-09T08:56:00,2026-02-09T08:59:49,229,SOLVED_FIRST,Resolved - Customer Confirmed,phone,Diagnostics,transferred,2,False,1,2026-02-09T10:59:49,0,,,,closure_code,Monday,8,2026-02,3-7min
TKT0000052,AGT018,Agent_018,TEAM3,2026-02-11T11:38:00,2026-02-11T11:42:43,283,SOLVED_FIRST,Resolved - Customer Confirmed,phone,Diagnostics,transferred,1,False,1,2026-02-11T13:42:43,0,,,,closure_code,Wednesday,11,2026-02,3-7min
TKT0000053,AGT011,Agent_011,TEAM4,2026-05-28T17:54:00,2026-05-28T18:06:45,765,RES_NO_FU,Resolved - No Follow-Up,phone,Remote Services,transferred,1,False,0,,0,,,,,Thursday,18,2026-05,7-15min
TKT0000054,AGT016,Agent_016,TEAM1,2025-12-17T08:40:00,2025-12-17T08:48:27,507,SOLVED_SILENT,Resolved - No Follow-Up,phone,Navigation,resolved,0,False,1,2025-12-21T08:48:27,0,,,,closure_code,Wednesday,8,2025-12,7-15min
TKT0000055,AGT001,Agent_001,TEAM2,2026-01-06T17:16:00,2026-01-06T17:23:11,431,CLOSED_AUTO,Resolved - No Follow-Up,phone,Diagnostics,transferred,1,False,0,,0,,,,,Tuesday,17,2026-01,7-15min
TKT0000056,AGT015,Agent_015,TEAM4,2026-06-02T13:35:00,2026-06-02T13:48:14,794,TRANSFERRED_DEPT,Transferred,phone,Navigation,transferred,1,False,1,2026-06-03T13:48:14,1,2026-06-05T02:48:14,4.5,,closure_code,Tuesday,13,2026-06,7-15min
TKT0000057,AGT003,Agent_003,TEAM4,2026-04-22T07:53:00,2026-04-22T07:57:06,246,SOLVED_FIRST,Resolved - Customer Confirmed,app,Connectivity,resolved,0,False,1,2026-04-23T07:57:06,1,2026-04-24T11:57:06,5.0,"Excellent service, very professional.",closure_code,Wednesday,7,2026-04,3-7min
TKT0000058,AGT014,Agent_014,TEAM3,2025-12-14T11:23:00,2025-12-14T11:28:20,320,SOLVED_FIRST,Resolved - Customer Confirmed,phone,Emergency Services,unresolved,0,False,0,,0,,,,,Sunday,11,2025-12,3-7min
TKT0000059,AGT007,Agent_007,TEAM4,2026-02-05T17:06:00,2026-02-05T17:14:16,496,DUPLICATE,Administrative,app,Billing,resolved,0,False,0,,0,,,,,Thursday,17,2026-02,7-15min
TKT0000060,AGT020,Agent_020,TEAM1,2026-02-02T20:10:00,2026-02-02T20:18:04,484,SOLVED_FIRST,Resolved - Customer Confirmed,phone,Billing,abandoned,0,False,1,2026-02-02T22:18:04,0,,,,closure_code,Monday,20,2026-02,7-15min
TKT0000061,AGT001,Agent_001,TEAM2,2026-02-27T19:59:00,2026-02-27T20:01:29,149,SOLVED_FIRST,Resolved - Customer Confirmed,phone,Emergency Services,resolved,0,False,1,2026-02-28T20:01:29,0,,,,closure_code,Friday,20,2026-02,0-3min
TKT0000062,AGT006,Agent_006,TEAM3,2026-03-11T20:02:00,2026-03-11T20:07:00,300,RES_CUST_VERIFIED,Resolved - Customer Confirmed,phone,Connectivity,escalated,0,True,0,,0,,,,,Wednesday,20,2026-03,3-7min
TKT0000063,AGT027,Agent_027,TEAM4,2026-02-20T20:50:00,2026-02-20T20:56:00,360,CLOSED_AUTO,Resolved - No Follow-Up,phone,Navigation,unresolved,0,False,0,,0,,,,,Friday,20,2026-02,3-7min
TKT0000064,AGT022,Agent_022,TEAM3,2026-03-16T12:17:00,2026-03-16T12:25:55,535,RES_NO_FU,Resolved - No Follow-Up,phone,Emergency Services,transferred,1,False,1,2026-03-16T14:25:55,1,2026-03-18T08:25:55,3.1,,closure_code,Monday,12,2026-03,7-15min
TKT0000065,AGT012,Agent_012,TEAM1,2026-04-13T13:43:00,2026-04-13T13:51:03,483,DUPLICATE,Administrative,app,Emergency Services,transferred,2,False,0,,0,,,,,Monday,13,2026-04,7-15min
TKT0000066,AGT001,Agent_001,TEAM2,2026-02-08T09:37:00,2026-02-08T09:43:22,382,RES_CUST_VERIFIED,Resolved - Customer Confirmed,phone,Navigation,abandoned,0,False,1,2026-02-10T09:43:22,0,,,,closure_code,Sunday,9,2026-02,3-7min
TKT0000067,AGT004,Agent_004,TEAM1,2026-03-25T12:46:00,2026-03-25T12:47:45,105,TRANSFERRED_EXT,Transferred,chat,Remote Services,escalated,0,True,0,,0,,,,,Wednesday,12,2026-03,0-3min
TKT0000068,AGT017,Agent_017,TEAM2,2026-03-12T21:36:00,2026-03-12T21:42:36,396,RES_CUST_VERIFIED,Resolved - Customer Confirmed,phone,Diagnostics,resolved,0,False,1,2026-03-12T23:42:36,0,,,,closure_code,Thursday,21,2026-03,3-7min
TKT0000069,AGT014,Agent_014,TEAM3,2026-04-16T21:51:00,2026-04-16T21:58:00,420,RES_CONF,Resolved - Customer Confirmed,phone,Emergency Services,resolved,0,False,1,2026-04-20T21:58:00,0,,,,closure_code,Thursday,21,2026-04,3-7min
TKT0000070,AGT014,Agent_014,TEAM3,2026-05-23T21:21:00,2026-05-23T21:58:42,2262,RES_CUST_VERIFIED,Resolved - Customer Confirmed,phone,Diagnostics,resolved,0,False,1,2026-05-23T23:58:42,1,2026-05-24T14:58:42,3.8,Got it sorted out eventually.,closure_code,Saturday,21,2026-05,15+min
TKT0000071,AGT029,Agent_029,TEAM2,2026-05-23T13:20:00,2026-05-23T13:25:52,352,CLOSED_AUTO,Resolved - No Follow-Up,phone,Remote Services,resolved,0,False,1,2026-05-27T13:25:52,0,,,,closure_code,Saturday,13,2026-05,3-7min
TKT0000072,AGT005,Agent_005,TEAM2,2026-03-21T17:24:00,2026-03-21T17:32:18,498,RES_NO_FU,Resolved - No Follow-Up,phone,Remote Services,resolved,0,False,0,,0,,,,,Saturday,17,2026-03,7-15min
TKT0000073,AGT019,Agent_019,TEAM4,2026-03-17T15:53:00,2026-03-17T16:07:57,897,SOLVED_SILENT,Resolved - No Follow-Up,phone,Connectivity,resolved,0,False,0,,0,,,,,Tuesday,16,2026-03,7-15min
TKT0000074,AGT014,Agent_014,TEAM3,2026-05-08T17:20:00,2026-05-08T17:31:22,682,TRANSFERRED_EXT,Transferred,chat,Billing,transferred,1,False,0,,0,,,,,Friday,17,2026-05,7-15min
TKT0000075,AGT015,Agent_015,TEAM4,2026-01-27T15:30:00,2026-01-27T15:47:57,1077,DUPLICATE,Administrative,phone,Diagnostics,escalated,0,True,0,,0,,,,,Tuesday,15,2026-01,15+min
TKT0000076,AGT003,Agent_003,TEAM4,2026-04-14T17:40:00,2026-04-14T17:42:31,151,SOLVED_SILENT,Resolved - No Follow-Up,phone,Connectivity,resolved,0,False,0,,0,,,,,Tuesday,17,2026-04,0-3min
TKT0000077,AGT022,Agent_022,TEAM3,2026-01-30T19:12:00,2026-01-30T19:15:21,201,SOLVED_SILENT,Resolved - No Follow-Up,phone,Connectivity,resolved,0,False,0,,0,,,,,Friday,19,2026-01,3-7min
TKT0000078,AGT016,Agent_016,TEAM1,2025-12-22T14:26:00,2025-12-22T14:30:31,271,TRANSFERRED_EXT,Transferred,app,Connectivity,unresolved,0,False,0,,0,,,,,Monday,14,2025-12,3-7min
TKT0000079,AGT023,Agent_023,TEAM4,2026-04-09T13:15:00,2026-04-09T13:17:16,136,ESCALATED_T2,Escalated,phone,Navigation,resolved,0,False,0,,0,,,,,Thursday,13,2026-04,0-3min
TKT0000080,AGT025,Agent_025,TEAM2,2026-05-31T15:29:00,2026-05-31T15:36:03,423,SOLVED_SILENT,Resolved - No Follow-Up,phone,Navigation,resolved,0,False,1,2026-06-04T15:36:03,0,,,,closure_code,Sunday,15,2026-05,7-15min
TKT0000081,AGT015,Agent_015,TEAM4,2026-04-01T17:33:00,2026-04-01T17:36:31,211,SOLVED_FIRST,Resolved - Customer Confirmed,app,Remote Services,transferred,2,False,1,2026-04-03T17:36:31,0,,,,closure_code,Wednesday,17,2026-04,3-7min
TKT0000082,AGT011,Agent_011,TEAM4,2026-05-09T20:46:00,2026-05-09T21:05:53,1193,ESCALATED_SUP,Escalated,chat,Remote Services,unresolved,0,False,0,,0,,,,,Saturday,21,2026-05,15+min
TKT0000083,AGT015,Agent_015,TEAM4,2026-04-04T14:16:00,2026-04-04T14:19:53,233,SOLVED_FIRST,Resolved - Customer Confirmed,phone,Diagnostics,transferred,2,False,1,2026-04-04T16:19:53,0,,,,closure_code,Saturday,14,2026-04,3-7min
TKT0000084,AGT009,Agent_009,TEAM2,2026-04-07T17:15:00,2026-04-07T17:20:22,322,TRANSFERRED_DEPT,Transferred,phone,Billing,transferred,1,False,0,,0,,,,,Tuesday,17,2026-04,3-7min
TKT0000085,AGT003,Agent_003,TEAM4,2026-02-02T11:21:00,2026-02-02T11:32:52,712,SOLVED_SILENT,Resolved - No Follow-Up,phone,Remote Services,transferred,1,False,0,,0,,,,,Monday,11,2026-02,7-15min
TKT0000086,AGT003,Agent_003,TEAM4,2026-01-11T10:24:00,2026-01-11T10:26:50,170,SOLVED_FIRST,Resolved - Customer Confirmed,phone,Navigation,resolved,0,False,0,,0,,,,,Sunday,10,2026-01,0-3min
TKT0000087,AGT014,Agent_014,TEAM3,2026-02-26T15:29:00,2026-02-26T15:31:10,130,ESCALATED_T2,Escalated,phone,Billing,resolved,0,False,1,2026-02-27T15:31:10,0,,,,closure_code,Thursday,15,2026-02,0-3min
TKT0000088,AGT013,Agent_013,TEAM2,2026-05-31T07:54:00,2026-05-31T08:01:39,459,TRANSFERRED_EXT,Transferred,app,Billing,transferred,1,False,0,,0,,,,,Sunday,8,2026-05,7-15min
TKT0000089,AGT016,Agent_016,TEAM1,2026-03-04T11:48:00,2026-03-04T11:56:03,483,RES_CONF,Resolved - Customer Confirmed,chat,Remote Services,resolved,0,False,1,2026-03-04T13:56:03,0,,,,closure_code,Wednesday,11,2026-03,7-15min
TKT0000090,AGT024,Agent_024,TEAM1,2026-05-07T21:14:00,2026-05-07T21:25:37,697,TRANSFERRED_DEPT,Transferred,phone,Billing,resolved,0,False,0,,0,,,,,Thursday,21,2026-05,7-15min
TKT0000091,AGT016,Agent_016,TEAM1,2026-03-13T12:42:00,2026-03-13T12:51:41,581,RES_CONF,Resolved - Customer Confirmed,chat,Diagnostics,transferred,1,False,1,2026-03-13T14:51:41,1,2026-03-13T20:51:41,4.3,"Excellent service, very professional.",closure_code,Friday,12,2026-03,7-15min
TKT0000092,AGT006,Agent_006,TEAM3,2026-01-05T16:34:00,2026-01-05T16:42:16,496,ESCALATED_SUP,Escalated,phone,Billing,transferred,1,False,1,2026-01-06T16:42:16,1,2026-01-08T08:42:16,4.0,"Excellent service, very professional.",closure_code,Monday,16,2026-01,7-15min
TKT0000093,AGT019,Agent_019,TEAM4,2026-05-22T07:05:00,2026-05-22T07:09:10,250,TRANSFERRED_EXT,Transferred,phone,Billing,resolved,0,False,1,2026-05-22T09:09:10,0,,,,closure_code,Friday,7,2026-05,3-7min
TKT0000094,AGT006,Agent_006,TEAM3,2026-02-08T13:20:00,2026-02-08T13:27:54,474,RES_CONF,Resolved - Customer Confirmed,phone,Billing,transferred,1,False,0,,0,,,,,Sunday,13,2026-02,7-15min
TKT0000095,AGT011,Agent_011,TEAM4,2026-03-11T11:48:00,2026-03-11T11:56:15,495,CLOSED_AUTO,Resolved - No Follow-Up,chat,Emergency Services,abandoned,0,False,1,2026-03-11T13:56:15,0,,,,closure_code,Wednesday,11,2026-03,7-15min
TKT0000096,AGT027,Agent_027,TEAM4,2026-04-21T07:22:00,2026-04-21T07:26:04,244,RES_NO_FU,Resolved - No Follow-Up,phone,Diagnostics,resolved,0,False,1,2026-04-21T09:26:04,1,2026-04-22T09:26:04,5.0,,closure_code,Tuesday,7,2026-04,3-7min
TKT0000097,AGT002,Agent_002,TEAM3,2026-02-05T10:53:00,2026-02-05T11:17:49,1489,RES_CONF,Resolved - Customer Confirmed,phone,Connectivity,resolved,0,False,1,2026-02-09T11:17:49,0,,,,closure_code,Thursday,11,2026-02,15+min
TKT0000098,AGT005,Agent_005,TEAM2,2026-05-24T08:36:00,2026-05-24T08:45:22,562,ESCALATED_SUP,Escalated,chat,Diagnostics,unresolved,0,False,1,2026-05-24T10:45:22,1,2026-05-24T21:45:22,2.6,,closure_code,Sunday,8,2026-05,7-15min
TKT0000099,AGT009,Agent_009,TEAM2,2026-01-15T16:38:00,2026-01-15T16:41:23,203,CLOSED_AUTO,Resolved - No Follow-Up,phone,Connectivity,abandoned,0,False,0,,0,,,,,Thursday,16,2026-01,3-7min
TKT0000100,AGT010,Agent_010,TEAM3,2026-05-01T07:59:00,2026-05-01T08:10:39,699,RES_CUST_VERIFIED,Resolved - Customer Confirmed,phone,Remote Services,transferred,1,False,1,2026-05-02T08:10:39,1,2026-05-04T06:10:39,3.2,,closure_code,Friday,8,2026-05,7-15min
TKT0000101,AGT022,Agent_022,TEAM3,2026-03-15T18:12:00,2026-03-15T18:25:11,791,ESCALATED_T2,Escalated,phone,Navigation,resolved,0,False,0,,0,,,,,Sunday,18,2026-03,7-15min
TKT0000102,AGT023,Agent_023,TEAM4,2026-05-28T16:51:00,2026-05-28T16:59:58,538,SOLVED_SILENT,Resolved - No Follow-Up,app,Navigation,resolved,0,False,0,,0,,,,,Thursday,16,2026-05,7-15min
TKT0000103,AGT012,Agent_012,TEAM1,2026-03-23T17:23:00,2026-03-23T17:28:39,339,TRANSFERRED_DEPT,Transferred,phone,Navigation,resolved,0,False,0,,0,,,,,Monday,17,2026-03,3-7min
TKT0000104,AGT028,Agent_028,TEAM1,2025-12-31T13:23:00,2025-12-31T13:26:58,238,DUPLICATE,Administrative,chat,Diagnostics,resolved,0,False,0,,0,,,,,Wednesday,13,2025-12,3-7min
TKT0000105,AGT005,Agent_005,TEAM2,2026-01-18T18:33:00,2026-01-18T18:39:22,382,ESCALATED_T2,Escalated,phone,Remote Services,transferred,1,False,1,2026-01-18T20:39:22,1,2026-01-20T17:39:22,4.0,"Excellent service, very professional.",closure_code,Sunday,18,2026-01,3-7min
